scouter,eventCode,matchLevel,matchNumber,robot,teamNumber,as,asg,acc,acs,am,ad,tct,tsg,tfc,wf,wd,who,lnk,fpu,dt,fs,dn,ds,ls,dr,sd,sr,die,tip,dc,all,co,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41
AMB,2023inmish,qm,14,b2,868,[38],[5],0,1,1,e,[],"[29,5]",0,1,0,,0,3,0,e,2,2,0,x,1,5,0,0,0,1,"Very fast, good scoring ",,,,,,,,
WC,2023inmish,qm,14,b3,1555,[62],[],0,0,0,x,"[2.2,0.5,3.0]",[20],0,0,0,,0,,19.8,d,2,0,0,b,0,4,0,0,0,0,"Play defence only, but wasn't very good at defence",,,,,,,,
TJM,2023inmish,qm,14,b2,868,[38],[5],0,0,1,e,"[13.9,20.4]",[20],0,1,0,,0,1,0,e,2,1,0,a,0,3,0,0,0,0,Gripper issues ,,,,,,,,
AMK,2023inmish,qm,14,b1,45,[26],[8],1,1,1,x,"[21.7,10.4,16.2,5.6]","[27,34]",0,1,0,,0,3,0,a,2,1,0,x,0,4,1,0,0,0,It fell at the end off the charge station,,,,,,,,
JDP,2023inmish,qm,14,b2,868,[38],[5],0,0,1,e,"[2.6,14.0,3.2]",[],0,0,0,,0,1,3.4,e,2,1,0,a,1,4,0,0,0,1,,,,,,,,,
JIH,2023inmish,qm,14,r1,71,[71],[],1,0,1,x,"[12.8,25.0,0.7,29.5,23.7]","[8,17,14,11]",0,0,0,,1,2,4.1,d,2,2,3,x,0,4,0,0,0,0,Only went for cubes but can pi,,,,,,,,
ISS,2023inmish,qm,14,r1,71,[71],[],1,0,1,x,"[11.8,3.6]","[35,17,14,11]",2,0,0,,1,2,0,e,2,2,0,x,0,4,0,0,0,1,,,,,,,,,
C.M.C,2023inmish,qm,14,r2,9208,[35],[2],1,1,1,x,"[27.6,11.9,8.8]","[4,3,7]",1,1,0,,1,0,2.2,e,2,2,1,x,0,4,0,0,0,0,Very good teammate Id recommend,,,,,,,,
CJN,2023inmish,qm,14,r2,9208,[47],[2],0,0,0,x,"[45.6,43.8]","[4,7]",0,1,0,,1,0,53.6,e,2,2,3,x,0,4,0,1,0,1,,,,,,,,,
St cr,2023inmish,qm,15,b3,3147,[63],[],0,0,0,x,[77.8],[3],0,0,0,,1,0,0,e,2,1,1,x,0,3,0,1,1,0,,,,,,,,,
CJN,2023inmish,qm,15,r2,3487,[71],[],0,0,0,x,"[55.7,15.5,11.9]","[6,5,18]",0,1,0,,1,1,63.3,d,1,1,2,x,0,3,0,0,0,1,,,,,,,,,
C.M.C,2023inmish,qm,15,r2,3487,[71],[],1,1,1,x,"[9.1,7.1,14.0]","[6,5]",0,0,0,,0,2,0,x,0,0,0,x,0,2,0,0,0,0,Wasnt very active,,,,,,,,
AMK,2023inmish,qm,15,b1,4962,[38],[],0,0,0,a,"[5.5,2.9]","[2,5]",0,1,0,,1,0,0,x,2,1,0,x,0,4,0,0,0,0,No comment,,,,,,,,
WC,2023inmish,qm,15,b3,3147,[62],[1],1,0,1,x,"[89.3,8.6]",[3],0,0,0,,0,1,11.5,e,2,1,0,x,0,1,0,0,1,0,Couldn't keep ahold of game price very slow,,,,,,,,
JIH,2023inmish,qm,15,r1,3176,[35],[1],1,0,1,x,"[9.0,31.2,23.6,33.1,1.1,24.2]","[9,7,4,42,33,34]",0,0,1,4926,1,0,0,x,2,2,5,x,1,5,0,0,0,1,Goated,,,,,,,,
BW,2023inmish,qm,15,r3,1024,[47],[],0,1,0,e,"[7.8,18.0,15.9,20.3,27.2,30.9]","[2,3,10,13,11,30]",0,0,0,,0,3,8.1,a,1,1,5,x,1,3,0,0,0,1,Very good,,,,,,,,
AMB,2023inmish,qm,15,b2,8103,[26],[],1,0,1,x,[],[8],0,0,1,3176,0,2,0,e,2,0,0,x,0,2,0,0,0,0,Stopped multiple times,,,,,,,,
COJ,2023inmish,qm,15,b1,4926,[38],[],0,0,1,a,"[16.8,46.6]","[2,5]",0,0,0,,0,3,29.7,x,2,1,0,x,1,4,0,0,0,0,,,,,,,,,
JDP,2023inmish,qm,15,b2,8104,[26],[],1,1,1,x,"[12.2,10.0]","[8,5]",0,1,0,,0,2,7.9,e,2,2,0,a,1,4,0,0,0,1,,,,,,,,,
TJM,2023inmish,qm,15,b2,8103,[26],[],0,0,1,x,[5.4],"[8,17]",0,0,0,,0,2,0,e,2,1,0,a,0,3,0,0,0,0,gripper stopped opening ,,,,,,,,
ISS,2023inmish,qm,15,r1,3176,[35],[3],1,0,1,x,[22.0],"[9,7,3,34]",0,0,0,,1,0,0,x,1,2,2,x,1,5,0,0,0,0,,,,,,,,,
LRS,2023inmish,qm,16,b3,1747,[63],[],0,0,0,x,[],[],0,0,0,,0,0,0,x,0,0,0,x,0,1,1,0,0,0,Never moved,,,,,,,,
RMK,2023inmish,qm,16,r1,2197,[47],[],1,1,0,e,[],[],2,0,0,,0,0,17.1,a,2,1,0,x,0,3,0,0,1,0,Full support of team,,,,,,,,
EAR,2023inmish,qm,16,r3,1501,[35],[1],0,1,0,x,"[28.1,32.2]","[5,2]",0,1,0,,0,0,13.9,e,2,1,0,x,0,3,0,0,0,0,Average,,,,,,,,
ADO,2023inmish,qm,16,b3,1747,[62],[],0,0,0,x,[],[],0,0,0,,0,0,0,x,0,-1,0,x,0,3,1,0,0,0,Did not move for entire match,,,,,,,,
MDMP,2023inmish,qm,17,b2,5402,[26],[],1,0,0,x,[],"[25,4]",0,0,0,,0,3,0,e,2,1,0,x,1,2,0,1,0,0,Was disconnected for a portion of the match,,,,,,,,
RMK,2023inmish,qm,17,r1,862,[47],[32],0,1,0,e,"[13.6,34.1,48.3,21.4]","[7,6,8,14]",0,0,0,,1,3,0,e,2,2,1,x,1,5,0,0,1,1,Very fast and accurate,,,,,,,,
EAR,2023inmish,qm,17,r3,2867,[35],[],0,0,0,x,"[30.6,30.8,40.4]","[1,12,2]",0,1,0,,1,1,7.6,e,2,2,0,x,0,3,0,0,0,0,Efficient but slow,,,,,,,,
ADO,2023inmish,qm,17,b3,6721,[62],[],0,0,0,x,[],[],0,1,0,,0,0,0,x,2,1,0,a,0,3,1,1,1,0,Very shaky when driving,,,,,,,,
RMK,2023inmish,qm,18,r1,3487,[47],[5],1,1,0,a,"[26.9,21.4,30.1,38.2]","[24,6,4,9]",0,0,0,,1,,10.8,e,2,1,1,g,0,3,0,1,0,0,Top heavy,,,,,,,,
LRS,2023inmish,qm,18,b3,6956,[62],[],0,0,0,x,[],"[19,21]",0,0,0,,0,1,8.5,e,2,1,0,a,0,3,0,0,1,0,Too focused on cones and unreliable,,,,,,,,
EAR,2023inmish,qm,18,r3,45,[71],[8],1,0,0,x,"[20.6,26.1]","[2,11]",0,1,0,,0,0,21.5,e,2,1,0,x,0,5,0,0,0,0,Average,,,,,,,,
ADO,2023inmish,qm,18,b3,6956,[62],[],1,0,1,x,[],"[3,25,20,19,21]",0,0,0,,0,1,70.6,e,2,1,0,x,1,4,0,0,1,1,Continually drops cones when placing,,,,,,,,
MDMP,2023inmish,qm,18,b2,9071,[25],[],0,1,0,x,[],"[17,5,34]",0,1,0,,0,2,0,p,2,2,1,x,0,2,0,1,0,0,,,,,,,,,
EAR,2023inmish,qm,19,r3,1018,[35],[29],0,1,0,x,"[9.6,38.2]","[28,11]",0,1,0,,0,0,12.3,e,2,1,0,x,0,4,0,1,0,0,Unreliable,,,,,,,,
LJP,2023inmish,qm,19,b3,4982,[62],[],0,0,0,x,[],"[28,31,29]",0,0,0,,0,3,0,x,2,1,0,b,0,2,0,0,0,0,Only bottom,,,,,,,,
RMK,2023inmish,qm,19,r1,5484,[59],[25],1,1,1,a,"[33.9,38.8]","[27,21]",0,0,0,,0,1,15,e,2,0,0,x,1,2,0,0,1,0,Kept missing come pegs,,,,,,,,
ADO,2023inmish,qm,19,b3,4982,[62],[],0,0,0,x,[],"[14,11]",0,1,0,,0,3,0,x,2,1,3,x,1,4,0,0,1,0,Had a hard time manipulating pieces,,,,,,,,
Mdm,2023inmish,qm,19,b2,328,[37],[],0,0,1,e,[],"[33,34,11]",0,0,0,,0,2,0,e,2,1,3,x,1,3,0,0,0,0,,,,,,,,,
RMK,2023inmish,qm,20,r1,71,[47],[14],0,1,1,e,"[13.6,39.1,48.7]","[35,34,36]",1,0,0,,0,2,0,e,1,1,2,x,0,2,0,1,1,0,,,,,,,,,
LJP,2023inmish,qm,20,b3,461,[62],[],0,0,0,x,[],"[1,3,11,14]",0,1,1,4926,1,3,2.2,x,0,2,0,e,0,5,0,0,0,1,Outstanding performance,,,,,,,,
Dm,2023inmish,qm,20,r3,4926,[57],[],1,0,1,x,[],"[5,33,29,28]",0,0,0,,1,2,0,x,0,0,2,x,0,3,0,0,0,0,,,,,,,,,
KSG,2023inmish,qm,20,b3,461,[63],[2],1,0,1,x,[],"[1,11,3,14,5,9]",0,0,0,,1,3,0,e,2,2,3,x,0,4,0,0,0,1,,,,,,,,,
Mdm,2023inmish,qm,20,b2,910,[37],[6],0,1,1,x,[],[4],0,1,0,,0,0,0,e,2,1,0,x,0,3,0,0,0,0,,,,,,,,,
LRS,2023inmish,qm,21,b3,9119,[38],[],0,0,0,x,[],[],0,0,0,,0,,0,x,0,,0,x,0,3,1,0,0,0,,,,,,,,,
CRUm,2023inmish,qm,21,b2,135,[62],[11],1,0,1,x,"[10.4,20.0]","[2,35,34]",0,0,0,,1,2,0,a,2,1,0,x,0,4,0,0,0,0,,,,,,,,,
Dm,2023inmish,qm,21,r3,8103,[70],[],0,0,0,x,[],[20],0,0,0,,0,0,0,a,1,0,0,b,0,1,0,0,0,0,"Didn't do much, pushed cones to hybrid zone",,,,,,,,
LJA,2023inmish,qm,21,r1,8103,[70],[],0,0,0,x,[29.7],[20],0,0,0,,0,1,0,p,0,0,0,x,0,2,0,0,0,0,Could not pick up many cones. Resorted to pushing ,,,,,,,,
KSG,2023inmish,qm,21,b3,9119,[38],[],0,0,0,x,[],[],0,0,0,,0,,0,x,1,-1,0,x,0,1,1,0,0,0,,,,,,,,,
ETH,2023inmish,qm,22,r2,3147,[59],[],1,1,1,a,"[53.9,41.6,1.6,1.5,3.4]","[6,5]",0,1,0,,0,1,0,e,2,0,0,x,0,3,0,0,0,0,,,,,,,,,
CrU,2023inmish,qm,22,b2,2197,[38],[23],0,1,0,d,[],[],2,0,0,,0,0,0,e,2,2,0,x,1,5,0,0,0,0,,,,,,,,,
KSG,2023inmish,qm,22,b3,862,[63],[28],0,0,0,x,[],"[1,20,22,3,23]",0,0,0,,0,,0,e,2,1,2,x,0,3,0,0,1,1,,,,,,,,,
LJP,2023inmish,qm,22,b3,862,[64],[],0,0,0,x,[12.6],"[1,21,22,23]",0,0,0,,0,,5.6,e,2,1,0,g,0,3,0,0,0,0,Too slow at picking up game peices,,,,,,,,
LJA,2023inmish,qm,22,r1,1747,[71],[],0,0,0,x,[],[8],0,0,0,,0,3,0,p,2,0,0,x,0,2,1,0,0,0,Slow to pick up\put down  died picking up,,,,,,,,
Dm,2023inmish,qm,22,r3,1747,[71],[],0,0,0,x,[],[8],0,0,0,,0,0,0,x,2,0,1,x,0,1,1,0,0,0,,,,,,,,,
ZD,2022carv,qm,23,b1,1018,[50],[14],0,1,1,e,"[15.8,11.4]","[8,2,17,18]",0,1,0,,0,x,4,p,2,v,0,a,1,4,0,1,0,1,Could do good it we went cone and they went ,,,,,,,,
LJP,2023inmish,qm,23,b3,45,[62],[2],1,0,1,e,"[8.4,0.8]","[1,2,28]",0,0,0,,1,3,0,e,2,1,0,x,0,3,0,0,0,0,Alliance member 2867 flipped,,,,,,,,
LJA,2023inmish,qm,23,r1,5484,[70],[27],1,0,0,x,[],"[18,25,35]",0,1,0,,0,0,0,d,2,1,0,x,1,3,0,0,0,0,,,,,,,,,
ETH,2023inmish,qm,23,r2,868,[59],[5],1,1,1,e,"[38.7,4.8]",[29],0,0,0,,0,2,11.2,a,0,1,0,a,0,3,0,0,0,0,"Very good at docking, was messed up by another",,,,,,,,
Dm,2023inmish,qm,23,r3,3176,[35],[1],1,0,1,x,"[17.4,20.6]","[3,4,22,2,6]",6,1,0,,1,0,0,x,0,2,2,x,1,5,0,0,0,1,,,,,,,,,
CrU,2023inmish,qm,23,b2,2867,[26],[27],0,0,1,x,"[15.3,17.7,19.0]","[26,25,32]",0,0,0,,1,3,0,a,2,1,0,x,0,3,0,0,0,1,Tipped over at end,,,,,,,,
CrU,2023inmish,qm,24,b2,3865,[26],[],0,0,1,x,[26.3],"[26,25]",0,0,0,,0,1,6.7,e,2,0,0,x,0,2,0,0,0,0,,,,,,,,,
LJP,2023inmish,qm,24,b3,71,[38],[],1,0,1,e,[],"[30,11,14]",0,0,0,,0,2,0,e,2,1,0,x,0,3,0,0,0,0,Can't reach top tank or cones,,,,,,,,
LJA,2022carv,qm,24,r1,6956,[71],[],1,0,0,x,[14.9],"[26,36,25,24,23,22]",0,0,0,,1,b,0,e,2,v,2,g,0,4,0,0,0,1,,,,,,,,,
Scb,2023inmish,qm,24,r3,5402,[35],[],1,0,1,x,[],"[0,1,4,2]",0,1,0,,1,1,0,x,2,1,1,x,1,3,0,0,0,0,,,,,,,,,
ZD,2022carv,qm,24,b1,4982,[62],[],0,0,0,x,[],[],0,0,0,,0,x,0,x,2,x,0,x,0,3,1,0,0,0,Died for most of the match couldn't really record ,,,,,,,,
ETH,2023inmish,qm,24,r2,6956,[71],[],1,0,0,x,"[13.5,0.6,0.9]","[36,26,25,24,23,22]",0,0,0,,1,3,0,e,2,1,4,x,0,4,0,0,0,0,Very quick getting things In the b,,,,,,,,
LJP,2023inmish,qm,24,b3,71,[38],[],1,0,1,e,[],"[30,11,14]",0,0,0,,0,2,0,e,2,1,0,x,0,3,0,0,0,0,Can't reach top tank or cones,,,,,,,,
AMK,2022carv,qm,25,b1,3147,[26],[9],1,1,1,x,"[13.0,25.2,2.1,29.1]","[8,14,23]",0,1,0,,0,b,6.7,e,1,a,0,x,0,3,0,0,0,0,No comment,,,,,,,,
WS,2022carv,qm,25,r1,2909,[71],[],1,1,1,x,[],[],0,0,0,,0,x,0,a,1,n,0,a,0,2,0,0,0,0,,,,,,,,,
ETH,2023inmish,qm,25,r2,1024,[59],[32],0,0,1,e,[],"[6,9,5,7]",0,0,0,,1,3,0,a,0,2,2,g,0,5,0,0,0,0,,,,,,,,,
JAM,2023inmish,qm,25,b3,2197,[38],[],0,0,0,e,[],"[23,20,22,19]",0,0,0,,1,1,0,a,1,2,0,x,1,5,0,0,0,1,Handles lower level well but not the higher ones,,,,,,,,
JAM,2023inmish,qm,25,b3,2197,[38],[],0,0,0,e,[],"[23,20,22,19]",0,0,0,,1,1,0,a,1,2,0,x,1,5,0,0,0,1,Handles lower level well but not the higher ones,,,,,,,,
Scb,2023inmish,qm,25,r3,9071,[35],[],1,0,1,x,[],[11],0,1,0,,0,0,0,x,0,1,0,x,0,3,0,1,0,0,,,,,,,,,
JP,2023inmish,qm,25,b2,9119,[62],[],0,0,0,x,[],[],0,0,1,2197,0,0,0,x,1,1,0,g,1,3,0,1,0,1,Good defense,,,,,,,,
JAM,2023inmish,qm,26,b3,7477,[62],[],0,0,0,x,[],[21],0,0,0,,0,,0,x,0,-1,0,x,0,3,1,0,0,0,,,,,,,,,
JAM,2023inmish,qm,27,b3,6721,[62],[29],0,0,1,x,[],[],0,0,0,,0,0,0,x,1,2,0,e,0,3,0,0,0,1,,,,,,,,,
JAM,2023inmish,qm,27,b3,6721,[62],[29],0,0,1,x,[],[],0,0,0,,0,0,0,x,1,2,0,e,0,3,0,0,0,1,,,,,,,,,
JP,2023inmish,qm,28,b2,1024,[50],[],1,1,1,e,"[4.8,9.7,6.6,12.6,15.2,0.3]","[4,12,6,5]",0,0,0,,0,3,5.4,a,2,2,1,g,1,4,0,0,0,1,"Good performance, little erro",,,,,,,,
JAM,2023inmish,qm,28,b3,4982,[62],[],1,1,1,x,"[42.4,38.1]","[11,12,4]",0,0,0,,0,,0,e,2,1,0,x,1,3,0,0,0,0,,,,,,,,,
JAM,2023inmish,qm,28,b3,4982,[62],[],1,1,1,x,"[42.4,38.1]","[11,12,4]",0,0,0,,0,,0,e,2,1,0,x,1,3,0,0,0,0,,,,,,,,,
JAM,2023inmish,qm,29,b3,8103,[50],[],0,0,0,x,[],[24],0,0,0,,0,2,0,e,2,0,0,x,0,3,0,1,1,0,,,,,,,,,
Scb,2023inmish,qm,29,r3,6956,[71],[],1,0,1,x,[13.4],"[19,20,21,27]",0,0,0,,1,1,0,a,2,1,1,x,0,3,0,0,0,0,,,,,,,,,
Mdm,2023inmish,qm,29,b2,5401,[49],[],1,0,1,x,[],[7],0,1,0,,0,3,0,p,2,0,1,x,0,3,0,0,0,0,,,,,,,,,
Scb,2023inmish,qm,29,r3,6956,[71],[],1,0,1,x,[13.4],"[19,20,21,27]",0,0,0,,1,1,0,a,2,1,1,x,0,3,0,0,0,0,,,,,,,,,
JAM,2022carv,qm,29,r2,5484,[34],[10],0,0,1,x,[],"[20,14,12]",0,0,0,,1,x,0,e,2,x,0,x,0,3,0,0,0,0,,,,,,,,,
JAM,2022carv,qm,30,r2,2867,[71],[27],0,0,0,x,[],[],0,0,0,,0,x,0,a,0,n,0,x,0,3,0,1,0,0,Fell over and failed to place 3 cones,,,,,,,,
Scb,2023inmish,qm,30,r3,135,[35],[2],1,0,1,x,"[8.9,42.3,28.5,7.9]","[5,2,31]",0,0,0,,0,3,0,x,0,2,0,x,1,5,0,0,1,1,,,,,,,,,
Mdmdm,2023inmish,qm,30,b2,3487,[37],[5],0,1,1,e,[],"[6,4]",0,1,0,,0,1,0,e,2,2,1,x,1,3,0,0,0,1,,,,,,,,,
Scb,2023inmish,qm,30,r3,135,[35],[2],1,0,1,x,"[8.9,42.3,28.5,7.9]","[5,2,31]",0,0,0,,0,3,0,x,0,2,0,x,1,5,0,0,1,1,,,,,,,,,
JAM,2023inmish,qm,30,b3,3936,[38],[5],1,1,1,x,[],"[6,7]",0,0,0,,0,,0,p,2,1,1,x,0,3,0,0,0,0,,,,,,,,,
JAM,2023inmish,qm,30,b3,3936,[38],[5],1,1,1,x,[],"[6,7]",0,0,0,,0,,0,p,2,1,1,x,0,3,0,0,0,0,,,,,,,,,
JAM,2023inmish,qm,31,b3,2909,[50],[7],0,0,0,x,[],"[28,21,29]",0,0,0,,0,,0,p,2,2,0,x,0,3,0,1,0,0,,,,,,,,,
JAM,2023inmish,qm,31,b3,2909,[50],[7],0,0,0,x,[],"[28,21,29]",0,0,0,,0,,0,p,2,2,0,x,0,3,0,1,0,0,,,,,,,,,
Mdmdm,2023inmish,qm,31,b2,2197,[49],[23],0,1,0,e,[],"[29,22,25]",0,1,0,,0,0,0,e,2,1,4,x,1,3,0,0,0,0,,,,,,,,,
RMK,2023inmish,qm,31,r1,7477,[71],[],0,0,0,x,[103.3],[],0,0,1,2917,0,0,21.5,p,2,0,0,b,0,1,1,0,1,0,Very poor driving and handling,,,,,,,,
JAM,2022carv,qm,31,r2,862,[47],[32],0,0,0,e,[],"[20,42,33,27,26,21,23]",0,0,0,,0,o,0,e,2,v,2,x,0,5,0,0,0,1,Only hits bottom row,,,,,,,,
Scb,2023inmish,qm,31,r3,9208,[35],[2],1,0,1,x,"[14.8,5.1,34.7]","[1,3,4]",0,1,0,,1,0,8.5,e,2,1,1,x,0,3,0,0,0,1,The second cycle time should be around 30 ,,,,,,,,
EAR,2023inmish,qm,32,r3,6721,[35],[],0,0,0,x,[],[],2,0,1,868,0,1,0,x,2,1,0,a,0,3,0,0,0,0,Average,,,,,,,,
Mdm,2023inmish,qm,32,b2,4926,[63],[],1,0,1,x,[],"[2,8]",0,0,0,,0,2,0,p,2,1,0,x,0,3,0,0,0,0,,,,,,,,,
RMK,2023inmish,qm,32,r1,45,[71],[35],1,0,1,x,"[16.2,21.1,35.0]","[9,34,7]",0,0,0,,1,3,0,e,2,1,1,x,0,4,0,0,0,0,,,,,,,,,
JAM,2022carv,qm,32,r2,328,[59],[],0,0,1,d,[],"[32,35,33,27]",0,0,0,,0,b,0,e,2,v,0,x,0,5,0,0,0,1,Only hits bottom row,,,,,,,,
JAM,2023inmish,qm,32,b3,868,[62],[],1,1,1,e,[],[1],0,0,0,,0,0,0,p,0,2,0,x,0,4,0,0,0,0,,,,,,,,,
CJN,2023inmish,qm,33,r2,1018,[69],[],0,0,0,x,[],"[5,2,8]",0,1,0,,1,,13,e,3,2,2,x,1,4,0,1,0,1,,,,,,,,,
EAR,2023inmish,qm,33,r3,1501,[34],[1],0,1,1,x,"[25.7,58.2,25.7]","[3,4,7]",0,1,0,,1,,14,e,3,2,0,e,0,5,0,0,0,1,,,,,,,,,
CrU,2023inmish,qm,33,b2,,[38],[5],0,1,1,a,"[16.8,18.6]","[6,26,7,9]",0,0,0,,0,3,0,e,2,1,2,x,0,4,0,0,0,1,,,,,,,,,
RMK,2023inmish,qm,33,r1,910,[47],[6],0,0,1,x,"[56.9,45.1]","[8,9]",0,0,0,,1,3,9.6,e,3,1,1,x,0,2,0,0,1,0,Dropped cone on cube shelf,,,,,,,,
ETH,2023inmish,qm,33,b3,461,[62],[2],1,0,1,x,[],"[1,3,11,10]",0,0,0,,1,3,0,e,2,2,0,x,1,5,0,0,0,1,,,,,,,,,
EAR,2023inmish,qm,34,r3,7477,[71],[],0,0,0,x,[],[],0,0,0,,0,0,0,x,1,0,0,b,0,1,0,0,0,0,,,,,,,,,
CrU,2023inmish,qm,34,b2,6956,[26],[36],0,0,1,x,[15.4],"[26,25,24]",0,0,1,7477,0,1,0,p,1,2,1,x,0,4,0,0,0,0,,,,,,,,,
CJN,2023inmish,qm,34,r2,5484,[35],[10],0,0,0,x,"[3.8,16.8]","[12,11]",0,1,0,,1,0,15.7,e,0,1,1,x,0,3,0,0,0,1,,,,,,,,,
LJA,2023inmish,qm,34,r1,7477,[71],[],0,0,0,x,[],[],0,0,0,,0,1,0,x,2,2,0,e,0,3,0,0,0,1,Good defender,,,,,,,,
LRS,2023inmish,qm,34,b3,9208,[35],[2],1,1,1,x,[],"[4,39,7]",0,0,0,,1,0,0,a,1,1,0,x,0,3,1,1,0,0,,,,,,,,,
CrU,2023inmish,qm,35,b2,1747,[26],[],0,0,0,x,[20.5],"[26,24]",0,0,0,,0,0,0,e,3,2,1,x,1,5,0,0,0,1,Arm broke 15sec in,,,,,,,,
CJN,2023inmish,qm,35,r2,5402,[35],[],0,0,0,x,"[4.1,23.1]","[3,4]",0,1,0,,0,1,30.7,x,1,1,0,g,0,4,1,0,1,0,,,,,,,,,
EAR,2023inmish,qm,35,r3,9119,[71],[],0,0,0,x,[],[],0,0,0,,0,0,0,a,1,0,0,b,0,1,0,1,0,0,Nah,,,,,,,,
AMK,2022carv,qm,35,b1,6721,[62],[2],0,0,1,x,[],[],0,0,0,,0,x,3.8,a,3,a,0,e,0,4,0,0,0,1,Good partner if you want a good defence,,,,,,,,
LRS,2023inmish,qm,35,b3,71,[38],[],1,1,1,d,[],[],0,0,0,,0,,0,e,3,1,0,x,0,2,0,0,0,0,,,,,,,,,
LJA,2023inmish,qm,35,r1,9119,[71],[],0,0,0,x,[],[8],0,0,0,,0,0,0,x,0,0,0,x,0,2,1,1,0,0,Not recommend ,,,,,,,,
CJN,2023inmish,qm,36,r2,461,[71],[],0,0,0,x,"[10.9,70.9]",[7],0,1,0,,0,,28.8,e,1,0,0,x,1,4,0,0,1,0,,,,,,,,,
LJA,2023inmish,qm,36,r1,461,[71],[],0,0,0,x,[],"[7,4,9]",0,1,0,,1,1,0,e,2,1,1,a,1,3,0,0,0,0,,,,,,,,,
EAR,2023inmish,qm,36,r3,4982,[35],[],0,0,0,x,"[12.9,11.2,28.7]","[17,8,32]",0,1,0,,0,0,9.9,e,2,1,0,x,0,3,0,0,0,0,Meh,,,,,,,,
JP,2023inmish,qm,36,b2,45,[38],[5],0,0,1,x,[],"[3,4]",0,0,0,,0,3,8.9,e,2,2,0,g,0,4,0,0,0,1,Didn't get all data,,,,,,,,
LRS,2023inmish,qm,36,b3,3176,[26],[1],1,1,1,e,"[0.3,37.9,7.5,5.1,19.1]","[0,1,3,4,7]",0,0,0,,0,,0,p,2,2,2,e,0,5,0,0,0,1,,,,,,,,,
JP,2023inmish,qm,36,b2,45,[38],[5],0,0,1,x,[],"[3,4]",0,0,0,,0,3,8.9,e,2,2,0,g,0,4,0,0,0,1,Didn't get all data,,,,,,,,
CWS,2022carv,qm,37,b2,3936,[27],[8],0,0,0,x,"[17.7,20.1,42.1,3.7]","[6,7,15]",0,0,0,,1,x,0,x,0,a,0,x,0,3,0,1,0,0,Only cones,,,,,,,,
CJN,2023inmish,qm,37,r2,8103,[35],[],0,0,0,x,[29.6],[14],0,0,0,,0,3,33.2,e,0,1,0,x,0,3,0,0,1,0,,,,,,,,,
EAR,2023inmish,qm,37,r3,910,[47],[3],0,1,1,e,"[30.2,56.6]","[1,2,5]",0,1,0,,1,0,0,x,2,2,0,x,0,4,0,0,0,1,,,,,,,,,
JAM,2023inmish,qm,37,b2,2909,[38],[],0,0,1,a,[],"[34,30,6]",0,0,0,,0,3,0,x,1,-1,0,x,0,3,0,0,0,0,,,,,,,,,
WDS,2023inmish,qm,37,r1,1555,[71],[],0,0,0,x,[],[18],0,0,0,,0,,3.1,e,2,2,0,x,0,4,0,0,0,0,This data is inaccurate because I spaced out,,,,,,,,
CWS,2022carv,qm,38,b1,9071,[26],[],0,0,1,x,[],[],0,0,0,,0,x,0,e,2,a,0,x,0,3,0,1,0,0,Paused for ~30 seconds after auton,,,,,,,,
CJN,2023inmish,qm,38,r2,3865,[35],[],0,0,0,x,[47.3],[20],0,0,0,,0,1,45.5,e,3,0,0,x,0,1,1,0,1,0,,,,,,,,,
LRS,2023inmish,qm,38,b3,3147,[38],[],1,1,1,a,[65.9],[19],0,0,0,,1,3,11,d,2,1,0,x,0,4,0,0,0,0,Shaky claw,,,,,,,,
EAR,2023inmish,qm,38,r3,2197,[47],[],0,1,0,d,"[8.9,48.8]",[23],2,1,1,328,0,1,11.1,e,3,2,0,x,0,5,0,0,0,1,Knowledgeable,,,,,,,,
WDS,2023inmish,qm,38,r1,3940,[71],[8],1,1,1,x,"[5.8,8.1,11.1,16.0,5.4,14.4]","[17,9,7,4,6]",0,1,0,,0,,7.6,e,3,2,1,x,0,5,0,0,0,1,,,,,,,,,
CJN,2023inmish,qm,39,r2,4926,[69],[],0,0,0,x,[9.3],[8],0,0,0,,0,,21.2,a,2,1,0,g,1,3,0,0,0,0,,,,,,,,,
EAR,2023inmish,qm,39,r3,3487,[59],[],0,1,0,e,"[20.7,60.7,26.3]","[4,23,6]",0,1,0,,0,1,7,e,2,1,0,x,0,3,0,0,0,0,Average,,,,,,,,
ZD,2022carv,qm,39,b1,1501,[38],[],0,0,0,x,[12.2],"[7,5]",0,1,0,,1,x,12.5,p,2,a,1,a,1,3,0,0,0,0,Couldn't get autons in time,,,,,,,,
EAR,2023inmish,qm,40,r3,135,[35],[11],1,1,1,x,"[11.3,54.9,22.6,13.6]","[1,3,29,31]",0,1,0,,1,3,2.4,e,2,2,0,x,0,4,0,0,0,1,Awesome,,,,,,,,
CJN,2023inmish,qm,40,r2,3936,[59],[8],0,1,0,x,"[34.7,0.9,43.4,38.5]","[6,4,7]",0,1,0,,1,0,8.7,p,2,1,1,a,1,4,0,0,1,1,,,,,,,,,
JIH,2023inmish,qm,40,r1,868,[71],[8],1,0,1,x,"[23.5,35.7,1.1]","[2,17]",0,0,0,,1,2,4.7,d,2,1,2,a,0,4,0,0,0,1,Solid intake,,,,,,,,
Mdm,2023inmish,qm,40,b2,1747,[61],[],0,0,0,x,[],[2],0,0,0,,0,0,0,e,2,-1,0,x,0,3,1,0,0,0,,,,,,,,,
